time_s,speed_mps,steering_rad
0.0,0.000000000,0.000000000
0.1,0.000000000,0.000000000
0.2,0.000000000,0.000000000
0.3,0.000000000,0.000000000
0.4,0.000000000,0.000000000
0.5,0.000000000,0.000000000
0.6,0.000000000,0.000000000
0.7,0.000000000,0.000000000
0.8,0.000000000,0.000000000
0.9,0.000000000,0.000000000
1.0,0.000000000,0.000000000
1.1,0.000000000,0.000000000
1.2,0.000000000,0.000000000
1.3,0.000000000,0.000000000
1.4,0.000000000,0.000000000
1.5,0.000000000,0.000000000
1.6,0.000000000,0.000000000
1.7,0.000000000,0.000000000
1.8,0.000000000,0.000000000
1.9,0.000000000,0.000000000
2.0,0.000000000,0.000000000
2.1,0.062500000,0.000000000
2.2,0.125000000,0.000000000
2.3,0.187500000,0.000000000
2.4,0.250000000,0.000000000
2.5,0.312500000,0.000000000
2.6,0.375000000,0.000000000
2.7,0.437500000,0.000000000
2.8,0.500000000,0.000000000
2.9,0.562500000,0.000000000
3.0,0.625000000,0.000000000
3.1,0.687500000,0.000000000
3.2,0.750000000,0.000000000
3.3,0.812500000,0.000000000
3.4,0.875000000,0.000000000
3.5,0.937500000,0.000000000
3.6,1.000000000,0.000000000
3.7,1.062500000,0.000000000
3.8,1.125000000,0.000000000
3.9,1.187500000,0.000000000
4.0,1.250000000,0.000000000
4.1,1.312500000,0.000000000
4.2,1.375000000,0.000000000
4.3,1.437500000,0.000000000
4.4,1.500000000,0.000000000
4.5,1.562500000,0.000000000
4.6,1.625000000,0.000000000
4.7,1.687500000,0.000000000
4.8,1.750000000,0.000000000
4.9,1.812500000,0.000000000
5.0,1.875000000,0.000000000
5.1,1.937500000,0.000000000
5.2,2.000000000,0.000000000
5.3,2.062500000,0.000000000
5.4,2.125000000,0.000000000
5.5,2.187500000,0.000000000
5.6,2.250000000,0.000000000
5.7,2.312500000,0.000000000
5.8,2.375000000,0.000000000
5.9,2.437500000,0.000000000
6.0,1.000000000,0.080000000
6.1,1.000000000,0.080000000
6.2,1.000000000,0.080000000
